cat_short,cat_long
"music","Music"
"film","Film"
"tv","TV"
"books","Books"
"videos","Videos"
"games","Games"
"misc","Misc"
"work","Work"
"tshirts","T-Shirts"
"media","Media"
"convo","Conversation"
"internal","Internal"
"seattle","Seattle"
"online","Online"
"msp","Minneapolis"
"politics","Politics"
"design","Design"
"tech","Technology"
"comedy","Comedy"
"food","Food"
"sports","Sports"
"ads","Advertising"
"architect","Architecture"
"sex","Sex"
"nodak","North Dakota"
"art","Art"
"celeb","Celebrity"
"nyc","New York"
"mp3","MP3"
"filmreview","Film Review"
